# MEDISCAN AI — Évaluation qualité CUI (TQ1/TQ2)
# Date,2026-03-17 15:23:04
# Mode,visual
# k,10
# N requêtes évaluées,50
# N résultats totaux,500

# TQ1 — Taux de requêtes satisfaites
seuil_m,valeur,seuil_attendu,statut
>=1,1.0000,0.80,PASS
>=2,0.2800,0.50,FAIL
>=3,0.1600,0.20,FAIL

# TQ2 — Part de résultats pertinents
seuil_m,valeur,seuil_attendu,statut
>=1,0.9380,0.30,PASS
>=2,0.2000,0.12,PASS
>=3,0.0600,0.05,PASS

# DÉTAIL PAR REQUÊTE
query_id,n_cui_query,max_communs_dans_top10
ROCOv2_2023_train_011138,1,1
ROCOv2_2023_train_002725,2,2
ROCOv2_2023_train_027430,1,1
ROCOv2_2023_train_024205,1,1
ROCOv2_2023_train_022131,3,3
ROCOv2_2023_train_014096,1,1
ROCOv2_2023_train_010178,1,1
ROCOv2_2023_train_053787,2,2
ROCOv2_2023_train_008800,1,1
ROCOv2_2023_train_058290,1,1
ROCOv2_2023_train_041908,1,1
ROCOv2_2023_train_003465,3,3
ROCOv2_2023_train_003252,1,1
ROCOv2_2023_train_009347,2,2
ROCOv2_2023_train_021689,1,1
ROCOv2_2023_train_023053,1,1
ROCOv2_2023_train_050154,1,1
ROCOv2_2023_train_059358,1,1
ROCOv2_2023_train_002882,3,3
ROCOv2_2023_train_055390,1,1
ROCOv2_2023_train_019885,1,1
ROCOv2_2023_train_053742,1,1
ROCOv2_2023_train_041693,3,3
ROCOv2_2023_train_021839,2,2
ROCOv2_2023_train_044514,3,3
ROCOv2_2023_train_058188,1,1
ROCOv2_2023_train_027706,1,1
ROCOv2_2023_train_000736,1,1
ROCOv2_2023_train_016019,3,3
ROCOv2_2023_train_042007,1,1
ROCOv2_2023_train_033927,3,3
ROCOv2_2023_train_027690,1,1
ROCOv2_2023_train_015702,1,1
ROCOv2_2023_train_021378,1,1
ROCOv2_2023_train_033557,1,1
ROCOv2_2023_train_010166,1,1
ROCOv2_2023_train_009244,1,1
ROCOv2_2023_train_037912,1,1
ROCOv2_2023_train_009597,2,2
ROCOv2_2023_train_035847,3,3
ROCOv2_2023_train_034311,1,1
ROCOv2_2023_train_059557,1,1
ROCOv2_2023_train_026353,1,1
ROCOv2_2023_train_004577,2,2
ROCOv2_2023_train_045549,1,1
ROCOv2_2023_train_052822,1,1
ROCOv2_2023_train_012581,1,1
ROCOv2_2023_train_037731,1,1
ROCOv2_2023_train_008081,1,1
ROCOv2_2023_train_054487,1,1
