# MEDISCAN AI — Mesures de performance
# Date,2026-03-17 15:02:28
# Mode,semantic
# k,10
# N images dans index,10000
# N requêtes mesurées,10

requete,tembed_s,tsearch_s,tserver_s,te2e_s
1,0.1131,0.0014,0.1145,0.1196
2,0.1133,0.0009,0.1143,0.1173
3,0.1047,0.0010,0.1056,0.1101
4,0.0991,0.0010,0.1001,0.1062
5,0.1059,0.0005,0.1064,0.1123
6,0.1019,0.0006,0.1025,0.1150
7,0.1055,0.0004,0.1059,0.1137
8,0.0988,0.0005,0.0993,0.1039
9,0.1038,0.0005,0.1043,0.1095
10,0.1057,0.0005,0.1062,0.1128

# STATISTIQUES
metrique,min_s,max_s,moyenne_s,dispersion_s,stabilite_%,seuil,statut
tembed,0.0988,0.1133,0.1052,0.0145,13.8%,-,-
tsearch,0.0004,0.0014,0.0007,0.0010,139.7%,-,-
tserver,0.0993,0.1145,0.1059,0.0152,14.3%,-,-
te2e,0.1039,0.1196,0.1120,0.0156,14.0%,<= 5.0s,PASS
