# MEDISCAN AI — Mesures de performance
# Date,2026-03-17 15:23:52
# Mode,visual
# k,10
# N images dans index,10000
# N requêtes mesurées,10

requete,tembed_s,tsearch_s,tserver_s,te2e_s
1,0.0607,0.0017,0.0625,0.0663
2,0.0601,0.0018,0.0619,0.0652
3,0.0606,0.0019,0.0625,0.0686
4,0.0567,0.0016,0.0584,0.0643
5,0.0583,0.0019,0.0602,0.0675
6,0.0624,0.0021,0.0646,0.0776
7,0.0598,0.0018,0.0616,0.0689
8,0.0582,0.0019,0.0601,0.0657
9,0.0568,0.0021,0.0589,0.0652
10,0.0590,0.0018,0.0607,0.0672

# STATISTIQUES
metrique,min_s,max_s,moyenne_s,dispersion_s,stabilite_%,seuil,statut
tembed,0.0567,0.0624,0.0593,0.0057,9.7%,-,-
tsearch,0.0016,0.0021,0.0019,0.0005,26.2%,-,-
tserver,0.0584,0.0646,0.0611,0.0062,10.2%,-,-
te2e,0.0643,0.0776,0.0677,0.0133,19.6%,<= 5.0s,PASS
